model,target,size,seed,rmse,r2,mae,train_s,infer_s
mlp,TAtracado,3000,42,32.01155053670801,0.36603043018584047,16.60328660517931,1.186,0.00025
mlp,TAtracado,3000,137,31.10576680050821,0.4013998586283384,15.52840271487832,0.902,0.00025
mlp,TAtracado,3000,256,31.27544925401583,0.39485129934745244,16.26654214680195,1.473,0.00025
mlp,TAtracado,3000,512,29.77997841403701,0.4513394320000884,15.851813765615224,1.057,0.00025
mlp,TAtracado,3000,1024,32.85997046340809,0.33198020939366957,17.184953824281692,1.31,0.00025
mlp,TAtracado,3000,2048,27.80261664738965,0.5217815421836952,14.102510597109795,0.979,0.00025
mlp,TAtracado,3000,3141,31.164511232014608,0.3991367651054095,16.755649603009225,1.099,0.00025
mlp,TAtracado,3000,4096,31.93524948483406,0.36904902160631103,16.38979966029525,1.114,0.00025
mlp,TAtracado,3000,5000,35.18980459094643,0.23389428530870326,17.047132085710764,0.98,0.00026
mlp,TAtracado,3000,6273,35.01120607358272,0.24165097120776313,19.931148007810116,0.522,0.00025
mlp,TAtracado,3000,7777,30.320565634007835,0.4312392879790077,15.384338015764952,1.126,0.00025
mlp,TAtracado,3000,8192,35.57675639718647,0.21695324949172168,16.635775750279425,1.253,0.00026
mlp,TAtracado,3000,9001,32.95464218405189,0.3281254471943543,16.408510447740554,1.431,0.00026
mlp,TAtracado,3000,10240,33.575627106594126,0.302565772124047,16.495682908892633,1.246,0.00025
mlp,TAtracado,3000,11111,27.226647347108244,0.5413902073878288,15.622805006057025,1.833,0.00025
mlp,TAtracado,3000,12345,33.66246676367239,0.2989534332526328,17.112063747644424,1.05,0.00025
mlp,TAtracado,3000,13579,33.714348328176534,0.2967908216265587,18.862460111379622,0.507,0.00025
mlp,TAtracado,3000,14641,34.31932648722071,0.27132729116837606,17.01739728808403,1.201,0.00025
mlp,TAtracado,3000,15360,37.66143247363781,0.12249689720497225,18.280968795120717,0.972,0.00025
mlp,TAtracado,3000,16384,34.92610779289756,0.24533297918673702,16.38411317527294,0.878,0.00026
mlp,TAtracado,6000,42,29.31296097517278,0.4684129761709792,14.91995720744133,1.597,0.00025
mlp,TAtracado,6000,137,33.27111689431877,0.3151590014447738,17.069351720809937,1.872,0.00026
mlp,TAtracado,6000,256,30.400238234684984,0.4282463239476848,16.34380270719528,1.798,0.00026
mlp,TAtracado,6000,512,31.151346863896954,0.399644285605514,15.998703445196151,1.677,0.00026
mlp,TAtracado,6000,1024,31.606505682177414,0.3819722724092721,15.515344356000423,1.181,0.00025
mlp,TAtracado,6000,2048,27.37074777785902,0.5365228616824942,14.003799693733454,1.352,0.00027
mlp,TAtracado,6000,3141,32.51862172004849,0.34578687684295684,14.70431527480483,2.298,0.00026
mlp,TAtracado,6000,4096,29.15141526625701,0.4742560549075596,15.308150958716869,1.087,0.00025
mlp,TAtracado,6000,5000,32.86198169981423,0.3318984328843996,16.743413481116296,1.764,0.00025
mlp,TAtracado,6000,6273,31.11222744503869,0.4011511752008441,16.092358965426683,1.317,0.00026
mlp,TAtracado,6000,7777,32.5527557494391,0.3444127318812872,16.83489264458418,2.099,0.00028
mlp,TAtracado,6000,8192,29.0091110827168,0.4793764207012604,14.834969323277473,1.54,0.00025
mlp,TAtracado,6000,9001,28.839301460439057,0.4854536935224376,14.509630261063576,2.961,0.00025
mlp,TAtracado,6000,10240,29.52545679452891,0.46067786843102876,15.44244953751564,1.65,0.00025
mlp,TAtracado,6000,11111,32.112283310063496,0.3620342481545672,16.5404251781106,2.345,0.00025
mlp,TAtracado,6000,12345,32.014497729772785,0.36591369002811036,16.62171919286251,1.58,0.00027
mlp,TAtracado,6000,13579,27.117916464611106,0.5450458523627639,13.563708033561706,1.864,0.00027
mlp,TAtracado,6000,14641,28.742307748112452,0.4889089665584888,14.85105150565505,2.994,0.00026
