model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TAtracado,1500,16384,29.68284315188913,0.4549127973442392,16.45405570089817,2.607,0.00067,96
xgboost,TAtracado,3000,42,32.915158239743235,0.3297344687778526,16.262701607346536,2.01,0.00062,56
xgboost,TAtracado,3000,137,29.9875143880179,0.44366558003622136,14.984764588475228,2.658,0.00064,99
xgboost,TAtracado,3000,256,27.002047701680766,0.5489253801079055,14.966854276061058,8.413,0.00105,540
xgboost,TAtracado,3000,512,28.489926175637972,0.49784517584292254,15.629178342223167,6.98,0.00096,487
xgboost,TAtracado,3000,1024,25.589347184246776,0.5948895885601168,14.917655822634696,2.76,0.00067,106
xgboost,TAtracado,3000,2048,28.047426882152127,0.5133227554044326,15.242813953757286,2.957,0.0007,111
xgboost,TAtracado,3000,3141,28.91712259332126,0.48267300184748696,15.767104389071465,3.262,0.00067,151
xgboost,TAtracado,3000,4096,27.765583994892086,0.5230546528171086,15.0568287140131,2.117,0.00066,60
xgboost,TAtracado,3000,5000,31.78266151504427,0.37506403799788,16.71133241713047,2.73,0.00069,118
xgboost,TAtracado,3000,6273,32.91013244341116,0.32993913805804487,16.944531731009484,3.162,0.00073,137
xgboost,TAtracado,3000,7777,29.818010204161002,0.4499371564486828,14.704547947049141,2.575,0.00067,85
xgboost,TAtracado,3000,8192,30.951548175354233,0.40732071873079156,15.17914135992527,2.492,0.00066,82
xgboost,TAtracado,3000,9001,24.316249742454733,0.6341962258830164,13.42481683075428,2.698,0.00067,88
xgboost,TAtracado,3000,10240,38.238941034619906,0.09537891751141536,18.556507862210275,4.667,0.0008,234
xgboost,TAtracado,3000,11111,27.8188133944645,0.5212241961146404,15.312144868969916,7.828,0.00103,534
xgboost,TAtracado,3000,12345,60.62125731466462,-1.273551890198843,20.92043057233095,20.098,0.00178,1540
xgboost,TAtracado,3000,13579,30.131119738778427,0.4383244307269336,15.154684975743294,2.258,0.00065,72
xgboost,TAtracado,3000,14641,29.61070841034396,0.45755890150742284,14.717287862896919,2.805,0.00067,116
xgboost,TAtracado,3000,15360,34.393725748113326,0.2681645558164042,17.127519057393073,2.175,0.00063,75
xgboost,TAtracado,3000,16384,33.27469335358197,0.3150117603657182,16.226002408862115,3.416,0.00072,167
