model,target,size,seed,rmse,r2,mae,train_s,infer_s
knn,TAtracado,6000,7777,32.10306094429706,0.3624006318589413,16.460149956941606,0.001,0.01065
svm,TAtracado,6000,7777,33.3391957819047,0.3123535102205308,15.475366082438134,0.145,0.00017
knn,TAtracado,6000,8192,33.2357294588745,0.3166150318241365,15.926162409186364,0.001,0.01141
svm,TAtracado,6000,8192,33.10851724943659,0.3218364329014149,15.319273211349577,0.14,0.00016
knn,TAtracado,6000,9001,31.413498449760123,0.3894972810359728,15.233929381370544,0.001,0.01083
svm,TAtracado,6000,9001,31.94021929412401,0.368852627335025,14.702522948020814,0.142,0.00018
knn,TAtracado,6000,10240,32.44686021290012,0.3486711023103866,17.705003985762595,0.001,0.01127
svm,TAtracado,6000,10240,33.1188842471995,0.3214116708479222,15.28127356529236,0.142,0.00017
knn,TAtracado,6000,11111,32.71811853155805,0.3377352580936253,17.259179109930994,0.001,0.0116
svm,TAtracado,6000,11111,33.37501117422932,0.3108752767474987,14.895714913119257,0.143,0.00017
knn,TAtracado,6000,12345,32.68633452820137,0.3390213467500841,16.49627908706665,0.001,0.01061
svm,TAtracado,6000,12345,32.75516080575802,0.3362348246781582,14.70662633215366,0.139,0.00016
knn,TAtracado,6000,13579,29.17679954851923,0.4733400483884852,15.020716406702997,0.001,0.01141
svm,TAtracado,6000,13579,32.02421201566614,0.3655288250036101,14.85026455020913,0.14,0.00017
knn,TAtracado,6000,14641,32.36714005753766,0.3518677292453642,16.664070978164673,0.001,0.01166
svm,TAtracado,6000,14641,32.786800990006,0.3349518637456687,14.91934406580376,0.143,0.00016
knn,TAtracado,6000,15360,37.33844025251573,0.1374836512835719,17.65965003967285,0.001,0.01027
svm,TAtracado,6000,15360,33.10964806194853,0.3217901071214195,15.102778111183593,0.14,0.00017
knn,TAtracado,6000,16384,32.902504028510016,0.330249736009088,16.55231683075428,0.001,0.01182
svm,TAtracado,6000,16384,32.75598327000418,0.3362014906956628,14.743185005004324,0.141,0.00017
linear_regression,TOperacao,100,42,37.89391596336391,-0.08344529566516434,20.594157744646072,0.033,0.00021
